openalex_id,doi,year,title,venue,authors,cited_by_count,candidate_score,pdf_url,landing_page_url,abstract
https://openalex.org/W2422442815,10.1002/bip.22892,2016,Ribosome biogenesis in replicating cells: Integration of experiment and theory,Biopolymers,Tyler M. Earnest; John A. Cole; J.R. Peterson; Michael J. Hallock; Thomas E. Kuhlman; Zaida Luthey‐Schulten,17,16,,https://doi.org/10.1002/bip.22892,"Ribosomes-the primary macromolecular machines responsible for translating the genetic code into proteins-are complexes of precisely folded RNA and proteins. The ways in which their production and assembly are managed by the living cell is of deep biological importance. Here we extend a recent spatially resolved whole-cell model of ribosome biogenesis in a fixed volume [Earnest et al., Biophys J 2015, 109, 1117-1135] to include the effects of growth, DNA replication, and cell division. All biological processes are described in terms of reaction-diffusion master equations and solved stochastically using the Lattice Microbes simulation software. In order to determine the replication parameters, we construct and analyze a series of Escherichia coli strains with fluorescently labeled genes distributed evenly throughout their chromosomes. By measuring these cells' lengths and number of gene copies at the single-cell level, we could fit a statistical model of the initiation and duration of chromosome replication. We found that for our slow-growing (120 min doubling time) E. coli cells, replication was initiated 42 min into the cell cycle and completed after an additional 42 min. While simulations of the biogenesis model produce the correct ribosome and mRNA counts over the cell cycle, the kinetic parameters for transcription and degradation are lower than anticipated from a recent analytical time dependent model of in vivo mRNA production. Describing expression in terms of a simple chemical master equation, we show that the discrepancies are due to the lack of nonribosomal genes in the extended biogenesis model which effects the competition of mRNA for ribosome binding, and suggest corrections to parameters to be used in the whole-cell model when modeling expression of the entire transcriptome. © 2016 Wiley Periodicals, Inc. Biopolymers 105: 735-751, 2016."
https://openalex.org/W2910514964,10.7554/elife.36842,2019,Essential metabolism for a minimal cell,eLife,Marian Breuer; Tyler M. Earnest; Chuck Merryman; Kim S. Wise; Lijie Sun; Michaela Lynott; Clyde A. Hutchison; Hamilton O. Smith,189,14,,https://doi.org/10.7554/elife.36842,"JCVI-syn3A, a robust minimal cell with a 543 kbp genome and 493 genes, provides a versatile platform to study the basics of life. Using the vast amount of experimental information available on its precursor, <i>Mycoplasma mycoides capri</i>, we assembled a near-complete metabolic network with 98% of enzymatic reactions supported by annotation or experiment. The model agrees well with genome-scale in vivo transposon mutagenesis experiments, showing a Matthews correlation coefficient of 0.59. The genes in the reconstruction have a high in vivo essentiality or quasi-essentiality of 92% (68% essential), compared to 79% in silico essentiality. This coherent model of the minimal metabolism in JCVI-syn3A at the same time also points toward specific open questions regarding the minimal genome of JCVI-syn3A, which still contains many genes of generic or completely unclear function. In particular, the model, its comparison to in vivo essentiality and proteomics data yield specific hypotheses on gene functions and metabolic capabilities; and provide suggestions for several further gene removals. In this way, the model and its accompanying data guide future investigations of the minimal cell. Finally, the identification of 30 essential genes with unclear function will motivate the search for new biological mechanisms beyond metabolism."
https://openalex.org/W2990341088,10.3389/fmolb.2019.00130,2019,Kinetic Modeling of the Genetic Information Processes in a Minimal Cell,Frontiers in Molecular Biosciences,Zane R. Thornburg; Marcelo C. R. Melo; David Bianchi; Troy A. Brier; Cole Crotty; Marian Breuer; Hamilton O. Smith; Clyde A. Hutchison,22,14,https://www.frontiersin.org/articles/10.3389/fmolb.2019.00130/pdf,https://doi.org/10.3389/fmolb.2019.00130,"JCVI-syn3A is a minimal bacterial cell with a 543 kbp genome consisting of 493 genes. For this slow growing minimal cell with a 105 min doubling time, we recently established the essential metabolism including the transport of required nutrients from the environment, the gene map, and genome-wide proteomics. Of the 452 protein-coding genes, 143 are assigned to metabolism and 212 are assigned to genetic information processing. Using genome-wide proteomics and experimentally measured kinetic parameters from the literature we present here kinetic models for the genetic information processes of DNA replication, replication initiation, transcription, and translation which are solved stochastically and averaged over 1,000 replicates/cells. The model predicts the time required for replication initiation and DNA replication to be 8 and 50 min on average respectively and the number of proteins and ribosomal components to be approximately doubled in a cell cycle. The model of genetic information processing when combined with the essential metabolic and cell growth networks will provide a powerful platform for studying the fundamental principles of life."
https://openalex.org/W2039685044,10.1038/nrmicro2202,2009,"Metabolism, cell growth and the bacterial cell cycle",Nature Reviews Microbiology,Jue D. Wang; Petra Anne Levin,353,13,,https://doi.org/10.1038/nrmicro2202,
https://openalex.org/W3185854339,10.3389/fmolb.2021.644133,2021,Generating Chromosome Geometries in a Minimal Cell From Cryo-Electron Tomograms and Chromosome Conformation Capture Maps,Frontiers in Molecular Biosciences,Benjamin R. Gilbert; Zane R. Thornburg; Vinson Lam; Fatema‐Zahra M. Rashid; John I. Glass; Elizabeth Villa; Remus T. Dame; Zaida Luthey‐Schulten,32,12,https://www.frontiersin.org/articles/10.3389/fmolb.2021.644133/pdf,https://doi.org/10.3389/fmolb.2021.644133,"JCVI-syn3A is a genetically minimal bacterial cell, consisting of 493 genes and only a single 543 kbp circular chromosome. Syn3A's genome and physical size are approximately one-tenth those of the model bacterial organism <i>Escherichia coli</i>'s, and the corresponding reduction in complexity and scale provides a unique opportunity for whole-cell modeling. Previous work established genome-scale gene essentiality and proteomics data along with its essential metabolic network and a kinetic model of genetic information processing. In addition to that information, whole-cell, spatially-resolved kinetic models require cellular architecture, including spatial distributions of ribosomes and the circular chromosome's configuration. We reconstruct cellular architectures of Syn3A cells at the single-cell level directly from cryo-electron tomograms, including the ribosome distributions. We present a method of generating self-avoiding circular chromosome configurations in a lattice model with a resolution of 11.8 bp per monomer on a 4 nm cubic lattice. Realizations of the chromosome configurations are constrained by the ribosomes and geometry reconstructed from the tomograms and include DNA loops suggested by experimental chromosome conformation capture (3C) maps. Using ensembles of simulated chromosome configurations we predict chromosome contact maps for Syn3A cells at resolutions of 250 bp and greater and compare them to the experimental maps. Additionally, the spatial distributions of ribosomes and the DNA-crowding resulting from the individual chromosome configurations can be used to identify macromolecular structures formed from ribosomes and DNA, such as polysomes and expressomes."
https://openalex.org/W4385708092,10.3389/fcell.2023.1214962,2023,Dynamics of chromosome organization in a minimal bacterial cell,Frontiers in Cell and Developmental Biology,Benjamin R. Gilbert; Zane R. Thornburg; Troy A. Brier; Jan A. Stevens; Fabian Grünewald; John E. Stone; ‪Siewert J. Marrink; Zaida Luthey‐Schulten,19,12,https://www.frontiersin.org/articles/10.3389/fcell.2023.1214962/pdf,https://doi.org/10.3389/fcell.2023.1214962,"Computational models of cells cannot be considered complete unless they include the most fundamental process of life, the replication and inheritance of genetic material. By creating a computational framework to model systems of replicating bacterial chromosomes as polymers at 10 bp resolution with Brownian dynamics, we investigate changes in chromosome organization during replication and extend the applicability of an existing whole-cell model (WCM) for a genetically minimal bacterium, JCVI-syn3A, to the entire cell-cycle. To achieve cell-scale chromosome structures that are realistic, we model the chromosome as a self-avoiding homopolymer with bending and torsional stiffnesses that capture the essential mechanical properties of dsDNA in Syn3A. In addition, the conformations of the circular DNA must avoid overlapping with ribosomes identitied in cryo-electron tomograms. While Syn3A lacks the complex regulatory systems known to orchestrate chromosome segregation in other bacteria, its minimized genome retains essential loop-extruding structural maintenance of chromosomes (SMC) protein complexes (SMC-scpAB) and topoisomerases. Through implementing the effects of these proteins in our simulations of replicating chromosomes, we find that they alone are sufficient for simultaneous chromosome segregation across all generations within nested theta structures. This supports previous studies suggesting loop-extrusion serves as a near-universal mechanism for chromosome organization within bacterial and eukaryotic cells. Furthermore, we analyze ribosome diffusion under the influence of the chromosome and calculate <i>in silico</i> chromosome contact maps that capture inter-daughter interactions. Finally, we present a methodology to map the polymer model of the chromosome to a Martini coarse-grained representation to prepare molecular dynamics models of entire Syn3A cells, which serves as an ultimate means of validation for cell states predicted by the WCM."
https://openalex.org/W2100380298,10.1126/science.1177263,2009,Impact of Genome Reduction on Bacterial Metabolism and Its Regulation,Science,Eva Yus; Tobias Maier; Konstantinos Michalodimitrakis; Vera van Noort; Takuji Yamada; Wei‐Hua Chen; Judith A. H. Wodke; Marc Güell,323,11,,https://doi.org/10.1126/science.1177263,"To understand basic principles of bacterial metabolism organization and regulation, but also the impact of genome size, we systematically studied one of the smallest bacteria, Mycoplasma pneumoniae. A manually curated metabolic network of 189 reactions catalyzed by 129 enzymes allowed the design of a defined, minimal medium with 19 essential nutrients. More than 1300 growth curves were recorded in the presence of various nutrient concentrations. Measurements of biomass indicators, metabolites, and 13C-glucose experiments provided information on directionality, fluxes, and energetics; integration with transcription profiling enabled the global analysis of metabolic regulation. Compared with more complex bacteria, the M. pneumoniae metabolic network has a more linear topology and contains a higher fraction of multifunctional enzymes; general features such as metabolite concentrations, cellular energetics, adaptability, and global gene expression responses are similar, however."
https://openalex.org/W4294043777,10.1021/acs.jpcb.2c04188,2022,Toward the Complete Functional Characterization of a Minimal Bacterial Proteome,The Journal of Physical Chemistry B,David Bianchi; James F. Pelletier; Clyde A. Hutchison; John I. Glass; Zaida Luthey‐Schulten,22,10,,https://doi.org/10.1021/acs.jpcb.2c04188,"Recently, we presented a whole-cell kinetic model of the genetically minimal bacterium JCVI-syn3A that described the coupled metabolic and genetic information processes and predicted behaviors emerging from the interactions among these networks. JCVI-syn3A is a genetically reduced bacterial cell that has the fewest number and smallest fraction of genes of unclear function, with approximately 90 of its 452 protein-coding genes (that is less than 20%) unannotated. Further characterization of unclear JCVI-syn3A genes strengthens the robustness and predictive power of cell modeling efforts and can lead to a deeper understanding of biophysical processes and pathways at the cell scale. Here, we apply computational analyses to elucidate the functions of the products of several essential but previously uncharacterized genes involved in integral cellular processes, particularly those directly affecting cell growth, division, and morphology. We also suggest directed wet-lab experiments informed by our analyses to further understand these ""missing puzzle pieces"" that are an essential part of the mosaic of biological interactions present in JCVI-syn3A. Our workflow leverages evolutionary sequence analysis, protein structure prediction, interactomics, and genome architecture to determine upgraded annotations. Additionally, we apply the structure prediction analysis component of our work to all 452 protein coding genes in JCVI-syn3A to expedite future functional annotation studies as well as the inverse mapping of the cell state to more physical models requiring all-atom or coarse-grained representations for all JCVI-syn3A proteins."
https://openalex.org/W4410950384,10.1021/acssynbio.5c00159,2025,Meeting Proceedings from 4th Minimal Cell Workshop: Exploring JCVI Minimal Cell Fundamental Insights and Integrative Applications,ACS Synthetic Biology,Zumra Peksaglam Seidel; Rajesh Kumar; Mariana E. G. de Araújo; S. J. Glass; Ronald Rodriguez; Tyler Goshia; John I. Glass,1,10,,https://doi.org/10.1021/acssynbio.5c00159,"The annual Minimal Cell Workshop, hosted by the J. Craig Venter Institute (JCVI), is an international virtual seminar that brings together over 80 academic, industrial, and government laboratories. Researchers use the JCVI's minimal bacterial cell platform to explore the principles of cellular life and integrate new chemical pathways. Since its creation in 2016, this platform has fostered global collaborations. The fourth workshop featured 26 talks on ongoing research with minimal cell strains, including JCVI-syn1.0, JCVI-syn3.0, JCVI-syn3A, and JCVI-syn3B. Topics included innovative imaging techniques like super-resolution microscopy and cryotomography, DNA replication assays, and minimal cell division. New approaches for ATP synthesis and the role of moonlighting proteins were also discussed. JCVI-syn3B applications explored its potential in understanding persistent pathogens and as an anticancer therapeutic. The workshop encouraged sharing techniques for cell culture and genetic manipulation, fostering collaboration and advancing efforts to develop genome-scale algorithms for understanding and manipulating cellular functions."
https://openalex.org/W1984248485,10.1126/science.1190719,2010,Creation of a Bacterial Cell Controlled by a Chemically Synthesized Genome,Science,Daniel G. Gibson; John I. Glass; Carole Lartigue; Vladimir N. Noskov; Ray-Yuan Chuang; Mikkel A. Algire; Gwynedd A. Benders; Michael Montague,2631,9,,https://doi.org/10.1126/science.1190719,"We report the design, synthesis, and assembly of the 1.08-mega-base pair Mycoplasma mycoides JCVI-syn1.0 genome starting from digitized genome sequence information and its transplantation into a M. capricolum recipient cell to create new M. mycoides cells that are controlled only by the synthetic chromosome. The only DNA in the cells is the designed synthetic DNA sequence, including ""watermark"" sequences and other designed gene deletions and polymorphisms, and mutations acquired during the building process. The new cells have expected phenotypic properties and are capable of continuous self-replication."
